_id,pin,block_lot,filing_date,case_id,municipality,ward,docket_type,amount,plaintiff
13059,0082H00188000000,82H188,2012-06-14,MG-12-001093,Pittsburgh,11,Sheriff Return,180359.68,James B. Nutter & Company
13060,0306B00102000000,306B102,2012-06-14,MG-12-001094,West Mifflin Boro,,Praecipe to Withdraw,35437.68,Bank of America N.A.
13061,1354E00159000000,1354E159,2012-06-14,MG-12-001095,Hampton Township,,Order of Court,161533.86,Bank of America N.A.
13062,0461F00158000000,461F158,2012-06-15,MG-12-001096,City of McKeesport,8,Order of Court,0.0,JPMorgan Chase Bank National Association
13063,0699D00255000000,699D255,2012-06-15,MG-12-001097,Moon Township,,Certificate-Recorder of Deeds,167934.65,US Bank National Association
13064,0471R00016000000,471R16,2012-06-15,MG-12-001098,Pleasant Hills Boro,,Sheriff Return,16303.83,Southwest Communities FCU
13065,0296S00198000000,296S198,2012-06-15,MG-12-001099,Penn Hills Township,,Correction to Judgment Index,112973.65,Nationstar Mortgage LLC
13066,0725B00174000000,725B174,2012-06-15,MG-12-001100,Indiana Township,,Sheriff Return,113440.23,Bank of America N.A.
13067,0075G00244000000,75G244,2012-06-16,MG-12-001101,Pittsburgh,27,Sheriff Return,27677.03,PHH Mortgage Corporation
13068,0075R00079000000,75R79,2012-06-16,MG-12-001102,Pittsburgh,27,Sheriff Return,56447.62,PHH Mortgage Corporation
13069,0316A00052000000,316A52,2012-06-18,MG-12-001103,Whitehall Boro,,Settled and Discontinued,54066.83,First Commonwealth Bank
13070,0047A00293000000,47A293,2012-06-18,MG-12-001104,Pittsburgh,26,Sheriff Return,61236.51,JPMorgan Chase Bank N.A.
13071,0125M00032000A00,125M32 A,2012-06-18,MG-12-001105,Pittsburgh,13,Settled and Discontinued,21434.87,Midfirst Bank
13072,0284J00210000000,284J210,2012-06-18,MG-12-001106,Shaler Township,,Certificate-Recorder of Deeds,97058.04,U.S. Bank National Association
13073,0551A00145000000,551A145,2012-06-18,MG-12-001107,White Oak Boro,,Sheriff Return,68385.26,U.S. Bank National Association
13074,0175P00362000000,175P362,2012-06-18,MG-12-001108,Wilkinsburg Boro,,Satisfaction,73916.04,U.S. Bank National Association
13075,0175P00360000000,175P360,2012-06-18,MG-12-001108,Wilkinsburg Boro,,Satisfaction,73916.04,U.S. Bank National Association
13076,0300F00006000000,300F6,2012-06-18,MG-12-001109,Forest Hills Boro,,Sheriff Return,151417.63,PNC Bank National Association
13077,0509S00336000000,509S336,2012-06-18,MG-12-001110,Aleppo Township,,Praecipe to Withdraw,71767.33,Wells Fargo Bank N.A.
13078,0085A00055000000,85A55,2012-06-18,MG-12-001111,Pittsburgh,7,Complaint,204857.93,Wells Fargo Bank N.A.
13079,0075B00239000000,75B239,2012-06-18,MG-12-001112,Pittsburgh,27,Certificate-Recorder of Deeds,34133.6,JPMorgan Chase Bank N.A.
13080,0054M00136000000,54M136,2012-06-18,MG-12-001113,Pittsburgh,15,Order of Court,10704.73,JPMorgan Chase Bank N.A.
13081,0458E00057000000,458E57,2012-06-19,MG-12-001114,N. Versailles Twp.,,Sheriff Return,167163.96,U.S. Bank National Association
13082,0036N00045000000,36N45,2012-06-19,MG-12-001115,Pittsburgh,20,Correction to Judgment Index,165754.37,Bank of America N.A.
13083,0301E00337000000,301E337,2012-06-19,MG-12-001116,N. Braddock Boro,,Sheriff Return,52953.79,Deutsche Bank National Trust
13084,0081D00088000000,81D88,2012-06-19,MG-12-001117,Pittsburgh,10,Sheriff Return,0.0,Flagstar Bank FSB
13085,0041A00164000000,41A164,2012-06-19,MG-12-001118,Pittsburgh,20,Default Judgment,93468.23,JPMorgan Chase Bank National Association
13086,1673S00155000000,1673S155,2012-06-19,MG-12-001119,Frazer Township,,Sheriff Return,68030.61,Bank of America N.A.
13087,0692K00015000000,692K15,2012-06-19,MG-12-001120,N. Fayette Township,,Sheriff Return,110877.76,Wells Fargo Bank N.A.
13088,0297H00228000000,297H228,2012-06-19,MG-12-001121,Churchill Boro,,Sheriff Return,118157.05,Bank of America N.A.
13089,0014J00195000000,14J195,2012-06-19,MG-12-001122,Pittsburgh,18,Order of Court,48068.65,U.S. Bank National Association
13090,0233E00027000000,233E27,2012-06-19,MG-12-001123,Wilkinsburg Boro,,Order of Court,67078.82,Bank of America N.A.
13091,0375D00217000000,375D217,2012-06-19,MG-12-001124,East Pittsburgh Boro,,Sheriff Return,25166.43,Bank of America N.A.
13092,0137C00239000000,137C239,2012-06-19,MG-12-001125,Brentwood Boro,,Sheriff Return,55370.57,Bank of America N.A.
13093,0927P00079000000,927P79,2012-06-19,MG-12-001126,Moon Township,,Return of Service,160406.3,HSBC Bank USA
13094,0538N00394000000,538N394,2012-06-19,MG-12-001127,Penn Hills Township,,Sheriff Return,123444.14,JPMorgan Chase Bank National Association
13095,0851R00356000000,851R356,2012-06-20,MG-12-001128,Plum Boro,,Discontinued without Prejudice,0.0,Bank of New York Mellon
13096,0455K00078000000,455K78,2012-06-20,MG-12-001129,Turtle Creek Boro,,Sheriff Return,32354.67,Bank of America N.A.
13097,0178L00182000000,178L182,2012-06-20,MG-12-001130,Swissvale Boro,,Sheriff Return,48278.31,Bank of America N.A.
13098,0050M00262000000,50M262,2012-06-20,MG-12-001131,Pittsburgh,11,Sheriff Return,31348.85,OneWest Bank FSB
13099,0079D00124000000,79D124,2012-06-20,MG-12-001132,Shaler Township,,Default Judgment,91757.02,HSBC Bank USA National Association
13100,0743K00041000000,743K41,2012-06-20,MG-12-001133,Pitcairn Boro,,Default Judgment,38061.7,EquiCredit Corporation of America
13101,0096J00203000000,96J203,2012-06-20,MG-12-001134,Pittsburgh,19,Sheriff Return,91730.43,Wells Fargo Bank N.A. trustee
13102,0454H00015000000,454H15,2012-06-20,MG-12-001135,Wilkins Township,,Sheriff Return,164595.74,Bank of New York Mellon
13103,0179R00130000000,179R130,2012-06-21,MG-12-001136,Munhall Boro,,Sheriff Return,34893.87,Wells Fargo Bank N.A.
13104,1367P00223000000,1367P223,2012-06-21,MG-12-001137,Brackenridge Boro,,Suggestion of Bankruptcy,57608.32,Wells Fargo Bank N.A.
13105,0390E00072000000,390E72,2012-06-21,MG-12-001139,Baldwin Boro,,Praecipe to Withdraw,177098.18,Bank of America N.A.
13106,0004S00147000000,4S147,2012-06-21,MG-12-001140,Pittsburgh,18,Sheriff Return,70885.19,Residential Credit Solutions Inc.
13107,0319L00032000000,319L32,2012-06-21,MG-12-001141,Upper St. Clair Twp.,,Discontinued without Prejudice,123618.21,Nationstar Mortgage LLC
13108,0136N00090000000,136N90,2012-06-21,MG-12-001142,Brentwood Boro,,Correction to Judgment Index,101589.66,Bank of America N.A.
13109,1203F00071000000,1203F71,2012-06-21,MG-12-001143,Franklin Park Boro,,Certificate-Recorder of Deeds,137402.29,JP Morgan Chase Bank N.A.
13110,0342L00351000000,342L351,2012-06-21,MG-12-001144,Coraopolis Boro,,Sheriff Return,217978.13,Bank of America N.A.
13111,0279N00008000000,279N8,2012-06-21,MG-12-001145,West View Boro,,Sheriff Return,79549.55,Bank of America N.A.
13112,0057C00364000000,57C364,2012-06-22,MG-12-001146,Pittsburgh,15,Discontinued without Prejudice,35826.79,PNC Bank National Association
13113,0057C00363000000,57C363,2012-06-22,MG-12-001146,Pittsburgh,15,Discontinued without Prejudice,35826.79,PNC Bank National Association
13114,0652J00077000000,652J77,2012-06-22,MG-12-001148,Elizabeth Township,,Complaint,73396.44,S & T Bank
13115,,NONE,2012-06-22,MG-12-001149,East McKeesport Boro,,Sheriff Return,151861.33,JPMorgan Chase Bank N.A.
13116,0045M00072000000,45M72,2012-06-22,MG-12-001150,Pittsburgh,26,Sheriff Return,0.0,Citifinancial Services Inc.
13117,0014L00193000000,14L193,2012-06-22,MG-12-001151,Pittsburgh,30,Sheriff Return,54958.05,PNC Bank N.A.
13118,0004J00095000000,4J95,2012-06-24,MG-12-001152,Pittsburgh,19,Sheriff Return,19939.46,Citimortgage Inc.
13119,1102H00063000000,1102H63,2012-06-22,MG-12-001153,Plum Boro,,Sheriff Return,140638.89,RBS Citizens N.A.
13120,0013G00330000000,13G330,2012-06-24,MG-12-001154,Pittsburgh,16,Order of Court,38975.72,Bank of America N.A.
13121,0539A00295000000,539A295,2012-06-24,MG-12-001155,Penn Hills Township,,Sheriff Return,63720.43,Nationstar Mortgage LLC
13122,0280K00312000000,280K312,2012-06-24,MG-12-001156,West View Boro,,Praecipe to Withdraw,109517.59,Wells Fargo Bank N.A.
13123,0184P00298000000,184P298,2012-06-24,MG-12-001157,Pittsburgh,31,Sheriff Return,47547.56,Wells Fargo Bank N.A.
13124,0115K00193000000,115K193,2012-06-25,MG-12-001158,Pittsburgh,26,Sheriff Return,0.0,New Allegheny Homeowners Association
13125,0280K00312000000,280K312,2012-06-25,MG-12-001159,West View Boro,,Complaint,109517.59,Wells Fargo Bank N.A.
13126,0041F00028000000,41F28,2012-06-25,MG-12-001160,Pittsburgh,28,Satisfaction,0.0,U.S. Bank N.A.
13127,0455D00171000000,455D171,2012-06-25,MG-12-001161,Turtle Creek Boro,,Sheriff Return,0.0,U.S. Bank N.A.
13128,0539M00319000000,539M319,2012-06-25,MG-12-001162,Penn Hills Township,,Settled and Discontinued,0.0,Midfirst Bank
13129,0642H00141000000,642H141,2012-06-25,MG-12-001163,Pitcairn Boro,,Order of Court,66368.87,Bank of America N.A.
13130,0300B00054000000,300B54,2012-06-25,MG-12-001164,Forest Hills Boro,,Substitution of Law Firm,0.0,US Bank National Association
13131,0979P00021000000,979P21,2012-06-25,MG-12-001165,Monroeville Boro,,Sheriff Return,150639.05,Wells Fargo Bank N.A.
13132,0538N00005000000,538N5,2012-06-25,MG-12-001166,Penn Hills Township,,Order of Court,73563.43,Bank of New York Mellon
13133,0368H00118000000,368H118,2012-06-26,MG-12-001167,Penn Hills Township,,Correction to Judgment Index,111665.21,Bank of America N.A.
13134,1238G00029000000,1238G29,2012-06-26,MG-12-001168,Plum Boro,,Withdrawal/Entry of Appearance,139303.92,Bank of New York Mellon
13135,0547E00156000000,547E156,2012-06-26,MG-12-001169,East McKeesport Boro,,Discontinued without Prejudice,83176.84,Bank of New York Mellon
13136,0170R00052000000,170R52,2012-06-26,MG-12-001170,Fox Chapel Boro,,Notice,352253.36,Central Mortgage Company
13137,0854R00119000000,854R119,2012-06-26,MG-12-001171,Monroeville Boro,,Suggestion of Bankruptcy,94388.63,Deutsche Bank National Trust Company
13138,0341D00335000000,341D335,2012-06-27,MG-12-001172,Coraopolis Boro,,Settled and Discontinued,0.0,Wells Fargo Bank
13139,1518K00027000000,1518K27,2012-06-27,MG-12-001173,Harrison Township,,Sheriff Return,89813.97,Gwinnett Community Bank
13140,0236C00180000000,236C180,2012-06-27,MG-12-001174,Rankin Boro,,Order of Court,37282.7,Citimortgage Inc.
13141,1219N00336000000,1219N336,2012-06-27,MG-12-001175,West Deer Township,,Certificate-Recorder of Deeds,88210.8,Branch Banking and Trust Company
13142,0070M00069000000,70M69,2012-06-27,MG-12-001176,Ingram Boro,,Praecipe to Withdraw,54435.46,Bank of America N.A.
13143,0079E00114000000,79E114,2012-06-28,MG-12-001177,Millvale Boro,,Settled and Discontinued,62511.44,Deutsche Bank National Trust Company
13144,0241K00069000000,241K69,2012-06-28,MG-12-001178,West Mifflin Boro,,Sheriff Return,93451.71,HSBC Bank USA National Association
13145,0181M00255000000,181M255,2012-06-28,MG-12-001179,West Mifflin Boro,,Sheriff Return,49013.68,Deutsche Bank National Trust Company
13146,0232G00204000000,232G204,2012-06-28,MG-12-001180,Pittsburgh,13,Order of Court,62250.87,PNC Bank National Association
13147,0174C00018000000,174C18,2012-06-28,MG-12-001181,Pittsburgh,13,Discontinued,18859.46,Bank of New York Mellon
13148,1218M00173000000,1218M173,2012-06-28,MG-12-001182,West Deer Township,,Discontinued without Prejudice,63682.89,Bank of America N.A.
13149,0351G00304000000,351G304,2012-06-28,MG-12-001183,Ross Township,,Correction to Judgment Index,67726.46,Bank of America N.A.
13150,0446S00234000000,446S234,2012-06-28,MG-12-001184,Penn Hills Township,,Sheriff Return,0.0,Bank of New York Mellon
13151,9946X88145000000,9946X88145,2012-06-28,MG-12-001185,S. Fayette Township,,Correction to Judgment Index,191063.79,Bank of America N.A.
13152,9844X00128000000,9844X128,2012-06-28,MG-12-001186,Oakdale Boro,,Sheriff Return,0.0,Deutsche Bank National Trust Company
13153,0156P00109000000,156P109,2012-06-28,MG-12-001187,Kennedy Township,,Praecipe to Withdraw,157601.48,Wells Fargo Bank N.A.
13154,0028P00126000000,28P126,2012-06-28,MG-12-001188,Pittsburgh,4,Sheriff Return,60073.95,U.S. Bank National Association as trustee
13155,0035L00045000000,35L45,2012-06-29,MG-12-001189,Pittsburgh,19,Motion & Order,69959.91,Wells Fargo Bank N.A.
13156,0314D00084000000,314D84,2012-06-29,MG-12-001190,Baldwin Boro,,Sheriff Return,101566.66,First Commonwealth Bank
13157,0167E00347000000,167E347,2012-06-29,MG-12-001191,Pittsburgh,27,Discontinued without Prejudice,52398.87,Bank of America N.A.
13158,0114M00304000000,114M304,2012-06-29,MG-12-001192,Pittsburgh,27,Order of Court,0.0,U.S. Bank National Association
13159,0013H00202000000,13H202,2012-06-29,MG-12-001193,Pittsburgh,16,Affidavit of Service,0.0,Bank of America N.A.
13160,0013H00202000000,13H202,2012-06-29,MG-12-001193,Pittsburgh,16,Affidavit of Service,0.0,MTGLQ Investors L.P.
13161,0013H00202000000,13H202,2012-06-29,MG-12-001193,Pittsburgh,16,Affidavit of Service,0.0,Ditech Financial LLC
13162,0013H00202000000,13H202,2012-06-29,MG-12-001193,Pittsburgh,16,Affidavit of Service,0.0,Green Tree Servicing LLC
13163,0538E00018000000,538E18,2012-06-29,MG-12-001194,Penn Hills Township,,Discontinued without Prejudice,65176.24,GMAC Mortgage LLC
13164,0057C00363000000,57C363,2012-06-29,MG-12-001195,Pittsburgh,15,Sheriff Return,35836.79,PNC Bank National Association
13165,1129A00203000000,1129A203,2012-06-29,MG-12-001196,Elizabeth Township,,Sheriff Return,63222.8,Bank of America N.A.
13166,0365S00166000000,365S166,2012-06-29,MG-12-001197,Penn Hills Township,,Assignment of Judgment,105640.53,Bank of America N.A.
13167,0069S00298000000,69S298,2012-06-29,MG-12-001198,Crafton Boro,,Discontinued without Prejudice,122044.41,Deustche Bank National Trust Company
13168,0060B00104000000,60B104,2012-06-29,MG-12-001199,Pittsburgh,29,Sheriff Return,52577.96,Citizens Bank of Pennsylvania
13169,0115F00254000000,115F254,2012-07-02,MG-12-001200,Pittsburgh,27,Certificate-Recorder of Deeds,0.0,Huntington National Bank
13170,0137G00251000000,137G251,2012-07-02,MG-12-001201,Brentwood Boro,,Satisfaction,16052.14,PNC Bank
13171,0066F00154000000,66F154,2012-07-02,MG-12-001202,Carnegie Boro,,Certificate of Service,121111.88,Bank of New York Mellon
13172,0645M00189000000,645M189,2012-07-02,MG-12-001203,N. Versailles Twp.,,Affidavit of Non-Military Service,87115.08,Bank of America N.A.
13173,,NONE,2012-07-02,MG-12-001204,Oakdale Boro,,Sheriff Return,95910.44,Bank of America N.A.
13174,0102B00030000000,102B30,2012-07-02,MG-12-001205,Carnegie Boro,,Discontinued,32845.59,PHH Mortgage Corporation
13175,0375K00271000000,375K271,2012-07-03,MG-12-001206,East Pittsburgh Boro,,Settled and Discontinued,86246.58,Wells Fargo Bank N. A
13176,0432S00231000000,432S231,2012-07-03,MG-12-001207,Shaler Township,,Assignment of Judgment,140796.58,Bank of America N.A.
13177,0860E00016000000,860E16,2012-07-03,MG-12-001208,Monroeville Boro,,Praecipe for Appearance,231875.46,Nationstar Mortgage LLC
13178,0102K00199000000,102K199,2012-07-03,MG-12-001209,Scott Township,,Sheriff Return,68366.11,Citizens Bank of Pennsylvania
13179,0925G00058000000,925G58,2012-07-03,MG-12-001210,Moon Township,,Correction to Judgment Index,179942.38,Bank of America N.A.
13180,,NONE,2012-07-03,MG-12-001211,Kennedy Township,,Praecipe for Appearance,361250.69,Bank of America N.A.
13181,0445A00327000000,445A327,2012-07-04,MG-12-001212,Penn Hills Township,,Sheriff Return,40840.87,PHH Mortgage Corporation
13182,0125M00299000000,125M299,2012-07-04,MG-12-001213,Pittsburgh,12,Discontinued without Prejudice,33234.41,U.S. Bank Trust National Association
13183,0508J00170000000,508J170,2012-07-04,MG-12-001214,Sewickley Boro,,Order of Court,84950.81,Bank of America N.A.
13184,0537N00167000000,537N167,2012-07-04,MG-12-001215,Penn Hills Township,,Sheriff Return,18737.11,Fifth Third Mortgage Company
13185,0235P00183000000,235P183,2012-07-04,MG-12-001216,Swissvale Boro,,Sheriff Return,44601.1,Suntrust Mortgage Inc.
13186,0107M00031000000,107M31,2012-07-05,MG-12-001217,Pittsburgh,28,Order of Court,22232.44,Beal Bank S.S.B.
13187,1368L00146000000,1368L146,2012-07-05,MG-12-001218,Harrison Township,,Sheriff Return,29742.99,U.S. Bank N.A.
13188,2370P00007000000,2370P7,2012-07-05,MG-12-001219,Marshall Township,,Sheriff Return,287506.64,Wells Fargo Bank N.A.
13189,0683D00006000000,683D6,2012-07-05,MG-12-001220,N. Fayette Township,,Sheriff Return,55314.93,Wells Fargo Financial Pennsylvania Inc.
13190,0034F00387000000,34F387,2012-07-05,MG-12-001221,Pittsburgh,19,Praecipe to Reinstate,188268.34,Bank of America N.A.
13191,0305P00275000000,305P275,2012-07-06,MG-12-001222,West Mifflin Boro,,Sheriff Return,89045.57,U.S. Bank National Association
13192,0305P00275000000,305P275,2012-07-06,MG-12-001222,West Mifflin Boro,,Sheriff Return,89045.57,Bank of New York Mellon Trust Company
13193,0536A00025000000,536A25,2012-07-06,MG-12-001223,Penn Hills Township,,Sheriff Return,0.0,Ever Bank
13194,0537N00159000000,537N159,2012-07-06,MG-12-001224,Penn Hills Township,,Sheriff Return,123639.09,US Bank National Association
13195,9929X87204000000,9929X87204,2012-07-06,MG-12-001225,N. Fayette Township,,Sheriff Return,251278.56,U.S. Bank National Association
13196,0297M00114000000,297M114,2012-07-06,MG-12-001226,Churchill Boro,,Settled and Discontinued,110131.86,JPMorgan Chase Bank N.A.
13197,0398N00004000000,398N4,2012-07-08,MG-12-001227,S. Fayette Township,,Sheriff Return,130823.37,JPMorgan Chase Bank National Association
13198,0176L00032000000,176L32,2012-07-08,MG-12-001228,Wilkinsburg Boro,,Praecipe to Withdraw,57868.21,Wells Fargo Bank N.A.
13199,0176G00188003100,176G188 31,2012-07-08,MG-12-001229,Wilkinsburg Boro,,Correction to Judgment Index,69235.34,GMAC Mortgage LLC
13200,0063H00031000000,63H31,2012-07-09,MG-12-001230,Pittsburgh,20,Sheriff Return,98582.68,Bank of New York Mellon
13201,0298G00119000000,298G119,2012-07-09,MG-12-001231,Churchill Boro,,Order of Court,121767.56,Bank of New York Mellon
13202,0389F00136000000,389F136,2012-07-09,MG-12-001232,Baldwin Boro,,Sheriff Return,118061.29,PNC Bank National Association
13203,0023P00005000000,23P5,2012-07-09,MG-12-001233,Pittsburgh,22,Sheriff Return,105353.99,Bank of America N.A.
13204,0516G00045000000,516G45,2012-07-09,MG-12-001234,Ross Township,,Sheriff Return,187884.08,U.S. Bank National Association
13205,0023E00301000000,23E301,2012-07-09,MG-12-001235,Pittsburgh,25,Correction to Judgment Index,46682.0,Deutsche Bank National Trust Company
13206,2194J00056000000,2194J56,2012-07-09,MG-12-001236,West Deer Township,,Order of Court,60435.84,Wells Fargo Bank N.A.
13207,0829R00156000000,829R156,2012-07-09,MG-12-001237,Hampton Township,,Sheriff Return,160483.86,Deutsche Bank National Trust Company
